name,rating,reviews,industry,location,highly_rated,critically_rated
British Council,3.5,461,Education & Training,New Delhi +24 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Buzzworks Business Services,3.7,461,Recruitment,Chennai +69 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Thought Focus,3.4,461,IT Services & Consulting,Bangalore / Bengaluru +11 other locations,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Quinnox,3.8,461,IT Services & Consulting,Bangalore / Bengaluru +8 other locations,Work Life Balance,Promotions / Appraisal
InCred Finance,3.8,461,NBFC,Mumbai +65 other locations,Work Life Balance,Promotions / Appraisal
Leighton Contractors,4.0,460,Engineering & Construction,Mumbai +20 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",Job Security
ASM Technologies,3.6,460,Engineering & Construction,Bangalore / Bengaluru +21 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
InCred Finance,3.8,460,NBFC,Mumbai +65 other locations,Work Life Balance,Promotions / Appraisal
Bridgestone India Automotive Products,4.0,459,Auto Components,Gurgaon / Gurugram +45 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Ramco Industries,4.1,459,Building Material,Chennai +77 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
GD Goenka Public School,3.2,459,Education & Training,New Delhi +70 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Suzlon Global Services,3.8,459,,,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
C-Edge Technologies,3.7,459,IT Services & Consulting,Mumbai +20 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Landis+Gyr,2.9,459,Electrical Equipment,Noida +11 other locations,,"Job Security, Skill Development / Learning, Promotions / Appraisal"
Bahwan Engineering,4.1,459,Engineering & Construction,Muscat +24 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Visaka Industries,3.8,458,Building Material,Hyderabad / Secunderabad +59 other locations,Work Life Balance,Promotions / Appraisal
Vindhya e-Info Media,3.4,458,BPO,Bangalore / Bengaluru +16 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Jumbotail Technologies,3.6,458,Retail,Bangalore / Bengaluru +29 other locations,,"Promotions / Appraisal, Job Security, Work Life Balance"
L. N. Malviya Infra Projects Group,3.1,457,Engineering & Construction,Bhopal +118 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Matrix Business Services,3.4,457,Analytics & KPO,Chennai +22 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
MagicPin,2.6,457,Internet,Gurgaon / Gurugram +19 other locations,,"Job Security, Company Culture, Work Life Balance"
ByteDance,4.0,457,Internet,Gurgaon / Gurugram +14 other locations,"Company Culture, Work Life Balance, Salary & Benefits","Job Security, Promotions / Appraisal"
Teradata,3.6,457,Software Product,Hyderabad / Secunderabad +10 other locations,"Work Life Balance, Salary & Benefits","Job Security, Promotions / Appraisal, Skill Development / Learning"
TriGeo Technologies,3.2,457,IT Services & Consulting,Hyderabad / Secunderabad +5 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Oriental Structural Engineers,4.2,457,Engineering & Construction,New Delhi +60 other locations,"Work Life Balance, Work Satisfaction, Salary & Benefits",
Kellton,2.9,456,IT Services & Consulting,Gurgaon / Gurugram +19 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Tata International,3.5,456,Import & Export,Mumbai +40 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Star Bazaar,3.9,456,Retail,Mumbai +41 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Revent Group,3.7,456,Auto Components,Gurgaon / Gurugram +31 other locations,Work Life Balance,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Kellton,2.9,456,IT Services & Consulting,Gurgaon / Gurugram +19 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Visa,3.3,456,FinTech,Bangalore / Bengaluru +17 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
smartData Enterprises,3.1,456,IT Services & Consulting,Nagpur +12 other locations,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Avery Dennison,3.7,455,Packaging,Bangalore / Bengaluru +32 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Numeric UPS,4.0,455,Consumer Electronics & Appliances,Chennai +75 other locations,"Company Culture, Job Security",Promotions / Appraisal
MediBuddy,3.5,455,Healthcare,Bangalore / Bengaluru +18 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Prism Cement,3.8,455,Building Material,Satna +77 other locations,Job Security,Promotions / Appraisal
Gulf Oil Lubricants,4.1,455,Oil & Gas,Mumbai +80 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
KRBL,3.8,455,Food Processing,Noida +53 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Iksula,3.3,454,IT Services & Consulting,Mumbai +11 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Vishvaraj Environment,4.0,456,Waste Management,Nagpur +53 other locations,"Salary & Benefits, Work Life Balance",
Del Monte Foods,4.0,454,Food Processing,Gurgaon / Gurugram +59 other locations,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
India Glycols,4.0,454,Chemicals,Kashipur +24 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Dana India,4.0,454,Auto Components,Pune +24 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Bluestone.com,3.5,454,Jewellery,Bangalore / Bengaluru +62 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Meghmani Organics,3.6,454,Chemicals,Bharuch +26 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
OLX Autos,3.9,454,,,Salary & Benefits,"Job Security, Promotions / Appraisal"
Athenahealth Technology,4.1,454,Analytics & KPO,Chennai +9 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Del Monte Foods,4.0,454,Food Processing,Gurgaon / Gurugram +59 other locations,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
India Glycols,4.0,454,Chemicals,Kashipur +24 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Novotel Hotels,4.0,453,Hospitality,Mumbai +31 other locations,"Job Security, Skill Development / Learning, Company Culture",
Jindal Power Limited,4.2,453,Power,Raigarh +35 other locations,"Job Security, Skill Development / Learning, Work Satisfaction",
Epiroc,4.0,453,Industrial Machinery,Bangalore / Bengaluru +27 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Anthem Biosciences,3.9,453,Pharma,Bangalore / Bengaluru +14 other locations,"Salary & Benefits, Job Security",Work Satisfaction
Allana Group of Companies,3.9,453,Food Processing,Mumbai +40 other locations,Salary & Benefits,Promotions / Appraisal
Subex,3.3,452,Software Product,Bangalore / Bengaluru +10 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
NAV Backoffice,3.5,452,Accounting & Auditing,Jaipur +9 other locations,Salary & Benefits,"Work Life Balance, Work Satisfaction, Skill Development / Learning"
Signature Global,3.9,452,Real Estate,Gurgaon / Gurugram +14 other locations,"Salary & Benefits, Work Life Balance",
Shalimar Paints,3.4,452,Chemicals,Gurgaon / Gurugram +83 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
TRINAMIX,4.5,457,IT Services & Consulting,Pune +5 other locations,"Job Security, Company Culture, Skill Development / Learning",
Symbiotec Pharmalab,4.0,451,,,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Tetra Pak,4.0,452,Packaging,Pune +20 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Fynd,2.9,451,Software Product,Mumbai +11 other locations,,"Job Security, Company Culture, Work Life Balance"
MathCo,3.0,451,Emerging Technologies,Bangalore / Bengaluru +7 other locations,,"Job Security, Work Life Balance, Work Satisfaction"
Vijai Electricals,3.6,451,Power,Hyderabad / Secunderabad +45 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Liberty General Insurance,3.7,451,Insurance,Mumbai +84 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Namaste India Foods,3.9,450,Food Processing,Kanpur +41 other locations,Work Life Balance,Promotions / Appraisal
Aparna Enterprises,3.9,450,Building Material,Hyderabad / Secunderabad +39 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Namaste India Foods,3.9,450,Food Processing,Kanpur +41 other locations,Work Life Balance,Promotions / Appraisal
Tetra Pak,4.0,451,Packaging,Pune +20 other locations,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Akamai Technologies,4.3,450,Software Product,Bangalore / Bengaluru +6 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Fynd,2.9,451,Software Product,Mumbai +11 other locations,,"Job Security, Company Culture, Work Life Balance"
Allied Blenders & Distillers,4.0,450,Beverage,Mumbai +80 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Symphony,4.7,449,Consumer Electronics & Appliances,Ahmedabad +85 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Equiniti,3.7,449,Financial Services,Chennai +4 other locations,Work Life Balance,Promotions / Appraisal
Orient Craft,3.6,449,Fashion & Textile,Gurgaon / Gurugram +14 other locations,,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
Nash Industries,3.6,448,Industrial Machinery,Bangalore / Bengaluru +14 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Seoyon E-hwa Automotive,3.5,448,Auto Components,Chennai +19 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Atyati Technologies,3.9,448,IT Services & Consulting,Bangalore / Bengaluru +97 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Knowledgeworks Global,2.9,449,Printing & Publishing,Mumbai +13 other locations,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Aimil Pharmaceuticals,3.6,448,Pharma,New Delhi +56 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
WM Universal Solutions Private Limited,3.6,448,Waste Management,Indore +17 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Venky's,3.7,447,Food Processing,Pune +69 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Stovekraft,4.0,448,Consumer Electronics & Appliances,Bangalore / Bengaluru +55 other locations,"Work Life Balance, Work Satisfaction, Salary & Benefits",
Sany Heavy Industry,3.6,448,Industrial Machinery,Pune +55 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
GS Lab,3.7,447,IT Services & Consulting,Pune +8 other locations,Work Life Balance,"Job Security, Promotions / Appraisal, Work Satisfaction"
Encube Ethicals,3.7,447,Pharma,Mumbai +28 other locations,"Job Security, Skill Development / Learning","Work Life Balance, Work Satisfaction, Promotions / Appraisal"
GS Lab,3.7,447,IT Services & Consulting,Pune +8 other locations,Work Life Balance,"Job Security, Promotions / Appraisal, Work Satisfaction"
Stovekraft,4.0,448,Consumer Electronics & Appliances,Bangalore / Bengaluru +55 other locations,"Work Life Balance, Work Satisfaction, Salary & Benefits",
Technico Industries,3.5,448,Auto Components,Gurgaon / Gurugram +19 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Karvy Data Management,3.2,446,,,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Greenpanel Industries,4.0,446,Furniture & Furnishing,Srikalahasti +69 other locations,"Salary & Benefits, Work Life Balance",
Protium Finance,3.8,445,Financial Services,Mumbai +74 other locations,Salary & Benefits,
Kaar Tech,3.9,445,IT Services & Consulting,Chennai +12 other locations,"Job Security, Skill Development / Learning, Company Culture",
T.v. Sundram Iyengar & Sons,4.0,445,Automobile,Chennai +78 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Saxo Bank,3.6,444,,,"Work Life Balance, Salary & Benefits","Job Security, Promotions / Appraisal"
RPG Life Sciences,3.7,444,Pharma,Ankleshwar +46 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
ESDS Software Solutions,3.6,445,IT Services & Consulting,Nashik +14 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Loadshare Networks,3.6,445,Logistics,Bangalore / Bengaluru +69 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
SABIC,4.2,444,Chemicals,Bangalore / Bengaluru +21 other locations,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
CommScope,3.8,444,Telecom,Bangalore / Bengaluru +20 other locations,Work Life Balance,Promotions / Appraisal
Flamingo Pharmaceuticals,3.2,443,Pharma,Mumbai +12 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
CollegeDekho,2.8,443,EdTech,Gurgaon / Gurugram +23 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
SBI Mutual Fund,3.7,443,Financial Services,Mumbai +146 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Dharampal Premchand,4.3,443,FMCG,Noida +69 other locations,"Work Life Balance, Job Security, Company Culture",
Samsung Display,3.8,443,Electronics Manufacturing,Noida +12 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Aludecor Lamination,3.8,442,Building Material,Haridwar +48 other locations,Skill Development / Learning,Promotions / Appraisal
Pratham Education Foundation,4.1,442,Education & Training,New Delhi +106 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Red Hat,4.3,442,Software Product,Pune +14 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Portea Medical,3.9,442,Healthcare,Bangalore / Bengaluru +43 other locations,,Promotions / Appraisal
Paharpur Cooling Towers,3.9,442,Industrial Machinery,Kolkata +50 other locations,"Job Security, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning"
BSCPL Infrastructure,3.9,442,Engineering & Construction,Hyderabad / Secunderabad +49 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
SMEC,3.6,442,Real Estate,Bangalore / Bengaluru +65 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
ITI,3.7,441,Hardware & Networking,Bangalore / Bengaluru +85 other locations,"Work Life Balance, Skill Development / Learning",
B. Braun Medical,4.1,442,Healthcare,Mumbai +49 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
AVAYA,3.2,441,Software Product,Pune +17 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Khadims,3.6,441,Fashion & Textile,Kolkata +64 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Bhilosa Industries,3.7,441,Fashion & Textile,Silvassa / Dadra & Nagar Haveli +12 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
LogixHealth,3.5,441,Analytics & KPO,Bangalore / Bengaluru +10 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Cera Sanitaryware,4.1,441,Building Material,Ahmedabad +77 other locations,"Salary & Benefits, Work Life Balance, Company Culture",
Godrej Interio,3.8,441,Furniture & Furnishing,Mumbai +66 other locations,Job Security,Promotions / Appraisal
JNS Instruments,3.9,440,Industrial Machinery,Gurgaon / Gurugram +23 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Kaya Skin Clinic,3.6,440,Beauty & Personal Care,Mumbai +36 other locations,,"Promotions / Appraisal, Company Culture, Work Life Balance"
GM Modular,3.7,440,Electrical Equipment,Mumbai +71 other locations,,Promotions / Appraisal
Cloud4C,3.5,440,IT Services & Consulting,Hyderabad / Secunderabad +8 other locations,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Torrent Gas,3.1,440,Oil & Gas,Ahmedabad +31 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Ergode IT Services,3.3,439,IT Services & Consulting,Mumbai +11 other locations,,"Job Security, Company Culture, Work Satisfaction"
Mediterranean Shipping Company,4.0,439,Ports & Shipping,Chennai +34 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Usha Martin,4.0,439,Iron & Steel,Ranchi +28 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Ergode IT Services,3.3,439,IT Services & Consulting,Mumbai +11 other locations,,"Job Security, Company Culture, Work Satisfaction"
Balmer Lawrie,3.6,439,Packaging,Kolkata +34 other locations,Job Security,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Railtel Corporation Of India,3.6,439,Hardware & Networking,New Delhi +70 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Ciena,4.0,438,Telecom,Gurgaon / Gurugram +11 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
ZF Friedrichshafen,3.8,438,Auto Components,Chennai +16 other locations,Work Life Balance,Promotions / Appraisal
Common Service Centres,4.4,440,Government,New Delhi +175 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
Bharat Bijlee,4.2,438,Electrical Equipment,Mumbai +22 other locations,"Job Security, Work Life Balance, Company Culture",
Sahyadri Hospital,4.2,436,Healthcare,Pune +11 other locations,"Skill Development / Learning, Company Culture, Job Security",
Stryker,3.9,436,Medical Equipment,Gurgaon / Gurugram +23 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Reshamandi,3.4,436,Fashion & Textile,Bangalore / Bengaluru +34 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Indofil Industries,4.1,436,Agro Chemicals,Bharuch +53 other locations,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security"
Hyundai Glovis,3.8,435,Logistics,Anantapur +21 other locations,,Promotions / Appraisal
NR Switch N Radio Services,3.7,435,Telecom,Kota +72 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Texmaco Rail and Engineering,3.8,435,Engineering & Construction,Kolkata +49 other locations,Job Security,Promotions / Appraisal
FabHotels,3.2,435,Hospitality,Gurgaon / Gurugram +33 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Corona Remedies,4.1,434,Pharma,Ahmedabad +67 other locations,"Company Culture, Work Life Balance, Job Security",
St. Xavier's High School,3.7,434,Education & Training,Gurgaon / Gurugram +122 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Clix Capital Services,4.0,434,FinTech,Gurgaon / Gurugram +36 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
Jindal Aluminium,3.8,434,Metals & Mining,Bangalore / Bengaluru +20 other locations,Salary & Benefits,
KSB Limited - Irrigation & Process Division (IPD),3.7,434,Industrial Machinery,Pune +31 other locations,Job Security,Promotions / Appraisal
RND Softech,3.0,434,BPO,Coimbatore +10 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Corona Remedies,4.1,434,Pharma,Ahmedabad +67 other locations,"Company Culture, Work Life Balance, Job Security",
Kolte Patil Developers,4.0,435,Real Estate,Pune +9 other locations,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
St. Xavier's High School,3.7,434,Education & Training,Gurgaon / Gurugram +122 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Clix Capital Services,4.0,434,FinTech,Gurgaon / Gurugram +36 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
National Australia Bank,3.0,433,Banking,Gurgaon / Gurugram +9 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Self Practice,4.4,433,Analytics & KPO,New Delhi +125 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Nagarjuna Fertilizers and Chemicals,4.1,432,Agro Chemicals,Kakinada +69 other locations,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
K D Hospital,4.5,432,Healthcare,Ahmedabad +8 other locations,"Company Culture, Job Security, Skill Development / Learning",
In Time Tec Visionsoft,3.5,432,IT Services & Consulting,Jaipur +10 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Infinity Learn,3.9,433,EdTech,Hyderabad / Secunderabad +17 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",
Puravankara,3.4,432,Real Estate,Bangalore / Bengaluru +14 other locations,,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal"
Paradeep Phosphates,3.9,432,Agro Chemicals,Paradip +45 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
MKC Infrastructure Ltd.,3.6,431,Engineering & Construction,Gandhinagar +46 other locations,,"Company Culture, Promotions / Appraisal, Work Life Balance"
Capital Foods,4.2,431,Food Processing,Mumbai +73 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
LuLu Group International,3.4,431,Retail,Kochi +40 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Deluxe Entertainment,3.5,431,Media & Entertainment,Bangalore / Bengaluru +11 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
CS TECH Ai,3.9,431,IT Services & Consulting,Nagpur +46 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
CWT,3.4,430,Travel & Tourism,New Delhi +13 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Eurokids,3.9,430,Education & Training,Mumbai +72 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
Bharat Seats,3.7,430,Auto Components,Gurgaon / Gurugram +20 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Moon Beverages,3.8,430,Beverage,New Delhi +37 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Yusen Logistics,4.0,430,Logistics,Mumbai +36 other locations,"Job Security, Company Culture, Work Life Balance",
Jupiter Hospital,3.9,431,Healthcare,Pune +15 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
ZTE Corporation,4.0,429,Telecom,Gurgaon / Gurugram +47 other locations,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal, Salary & Benefits"
DesignTech Systems,3.3,430,IT Services & Consulting,Pune +34 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
ELGI Equipments,4.1,429,Industrial Machinery,Coimbatore +29 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
SISL Infotech,3.5,429,IT Services & Consulting,New Delhi +39 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Aptech,3.4,429,Education & Training,Mumbai +72 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Miracle Software Systems,3.8,429,IT Services & Consulting,Visakhapatnam +12 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Salary & Benefits
Kyungshin Industrial Motherson,3.3,428,Electrical Equipment,Chennai +17 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Educomp Solutions,3.5,428,EdTech,Gurgaon / Gurugram +113 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Mahle Anand Thermal Systems,4.1,429,Auto Components,Pune +16 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
PULSUS HealthTech Group,3.2,428,Printing & Publishing,Visakhapatnam +8 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Alankit,3.3,429,Financial Services,New Delhi +39 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Realme,3.8,431,Consumer Electronics & Appliances,Gurgaon / Gurugram +96 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Mjunction Services,3.9,428,IT Services & Consulting,Kolkata +31 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Henkel Adhesives Technologies,4.1,428,Chemicals,Pune +27 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Reliance Capital,3.8,428,Financial Services,Mumbai +86 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Majesco,3.0,427,IT Services & Consulting,Mumbai +8 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Infosys Consulting,3.4,426,IT Services & Consulting,Bangalore / Bengaluru +28 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Dodsal Engineering & Construction,4.5,426,Engineering & Construction,Mumbai +37 other locations,"Work Satisfaction, Skill Development / Learning, Company Culture",
Kataria Automobiles,3.5,427,Automobile,Ahmedabad +26 other locations,,"Promotions / Appraisal, Job Security, Work Life Balance"
Paper Boat(Hector Beverages Pvt. Ltd.),4.0,426,Beverage,Bangalore / Bengaluru +101 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
Yethi Consulting,3.3,425,IT Services & Consulting,Bangalore / Bengaluru +11 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Fuji Electric,3.6,425,Industrial Machinery,Chennai +37 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ARMSOFTECH.AIR,3.3,425,IT Services & Consulting,Chennai +16 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Spoton Logistics,4.4,425,Logistics,Bangalore / Bengaluru +72 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
CodeClouds,4.2,425,Software Product,Kolkata +6 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
Allegis Group,3.6,425,Recruitment,Bangalore / Bengaluru +13 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Indian Immunologicals,4.2,425,Biotechnology,Hyderabad / Secunderabad +30 other locations,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal
Le Méridien,4.2,425,Hospitality,New Delhi +27 other locations,"Job Security, Skill Development / Learning, Company Culture",
Kothari Agritech,4.3,424,Building Material,Solapur +124 other locations,"Work Life Balance, Job Security, Company Culture",
AIRBUS,3.6,424,Defence & Aerospace,Bangalore / Bengaluru +11 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Toyota,4.1,424,Automobile,Bangalore / Bengaluru +107 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
360 Realtors,3.6,424,Real Estate,Pune +26 other locations,,"Job Security, Work Life Balance, Work Satisfaction"
Paynearby Technologies,4.0,424,FinTech,Mumbai +118 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Clove Dental,4.0,424,Healthcare,New Delhi +17 other locations,"Job Security, Skill Development / Learning, Company Culture",
LT Foods,3.8,423,FMCG,Gurgaon / Gurugram +62 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
AIG Hospital,4.3,423,Healthcare,Hyderabad / Secunderabad +6 other locations,"Job Security, Skill Development / Learning, Company Culture",
Transasia Bio-Medicals,3.4,423,Biotechnology,Mumbai +54 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
TotalEnergies,3.8,423,Oil & Gas,Mumbai +63 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Espire Infolabs,2.5,423,IT Services & Consulting,Gurgaon / Gurugram +8 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Gokaldas Exports,3.8,423,Fashion & Textile,Bangalore / Bengaluru +23 other locations,,"Promotions / Appraisal, Work Satisfaction"
Brembo Brake India,4.0,422,Auto Components,Pune +16 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Montecarlo Construction,4.2,423,Engineering & Construction,Ahmedabad +79 other locations,"Salary & Benefits, Work Life Balance, Company Culture",
Kaynes Technology,3.4,422,Electronics Manufacturing,Mysuru / Mysore +17 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Bada Business,3.5,422,Internet,New Delhi +54 other locations,,"Job Security, Promotions / Appraisal, Work Life Balance"
