name,rating,reviews,industry,location,highly_rated,critically_rated
Tata Steel,4.0,9.5k,Iron & Steel,Jamshedpur +225 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Quess,3.8,9.2k,Recruitment,Bangalore / Bengaluru +723 other locations,,"Promotions / Appraisal, Job Security"
Startek,3.1,9.1k,BPO,Bangalore / Bengaluru +104 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Asian Paints,3.9,9.1k,Chemicals,Mumbai +543 other locations,"Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
Paytm,3.2,8.9k,FinTech,Noida +408 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
UltraTech Cement,4.1,8.9k,Building Material,Mumbai +529 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Shriram Finance,4.0,8.7k,NBFC,Chennai +1091 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Maruti Suzuki,4.2,8.7k,Automobile,Gurgaon / Gurugram +441 other locations,"Job Security, Salary & Benefits, Company Culture",
Bajaj Finance,3.9,8.6k,NBFC,Pune +951 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",
Sutherland Global Services,3.4,8.5k,BPO,Chennai +80 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
EXL Service,3.6,8.3k,IT Services & Consulting,Noida +61 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Cipla,4.1,8.2k,Pharma,Mumbai +288 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Samsung,3.9,8.2k,Consumer Electronics & Appliances,Noida +571 other locations,Salary & Benefits,Promotions / Appraisal
Ericsson,4.0,8.2k,Telecom,Noida +162 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Wells Fargo,3.7,8.1k,Financial Services,Bangalore / Bengaluru +28 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Dr. Reddy's,4.0,7.9k,Pharma,Hyderabad / Secunderabad +209 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Optum Global Solutions,4.0,7.6k,IT Services & Consulting,Hyderabad / Secunderabad +66 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
HGS,3.8,7.5k,BPO,Bangalore / Bengaluru +120 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
ICICI Prudential Life Insurance,4.0,7.5k,Insurance,Mumbai +503 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
