Serial_No,Brand,Product_Name,Price,Original_Price,Discount,Product_Link,Image_URL
233,Decathlon,KIPSTA - Men Patch-Work Baseball Cap,₹619,₹799,(23% off),https://www.ajio.com/decathlon-kipsta--men-patch-work-baseball-cap/p/702495934_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251113/FsJj/6914e9d6a470c5082f8bcd2e/decathlon_black_kipsta_-_men_patch-work_baseball_cap.jpg
234,Bharatasya,Striped Knitted Headwrap,₹350,₹999,(65% off),https://www.ajio.com/bharatasya-striped-knitted-headwrap-/p/465488440_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230624/P4QX/6496f401eebac147fc035aca/bharatasya_black_striped_knitted_headwrap.jpg
235,Aavjo,Men Embroidered Baseball Cap,₹500,₹999,(50% off),https://www.ajio.com/aavjo-men-embroidered-baseball-cap/p/701977665_beige?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250718/9PiT/687a0a635d4cb4138035d59b/aavjo_beige_men_embroidered_baseball_cap.jpg
236,YOUSTA,Men Typographic Print Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-typographic-print-baseball-cap/p/442950539_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250729/xDbY/6888c4db8bfb9009ac477dba/yousta_black_men_typographic_print_baseball_cap.jpg
237,ARMANI EXCHANGE,Cotton Milano New York Baseball Cap,"₹2,949","₹7,373",(60% off),https://www.ajio.com/armani-exchange-cotton-milano-new-york-baseball-cap/p/410327145_00020?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20231201/jsca/6569f1bcddf7791519ab0ff0/armani_exchange_black_cotton_milano_new_york_baseball_cap.jpg
238,MATCHITT,Men Baseball cap,₹359,₹599,(40% off),https://www.ajio.com/matchitt-men-baseball-cap/p/442271476_black?,
239,Juxar,Men Basket Weave Snapback Cap,"₹1,299","₹2,599",(50% off),https://www.ajio.com/juxar-men-basket-weave-snapback-cap/p/702262110_aqua?,
240,MATCHITT,Men Embroidered Baseball Cap,₹330,"₹1,099",(70% off),https://www.ajio.com/matchitt-men-embroidered-baseball-cap/p/441592962_olive?,
241,ASOS DESIGN,Men Embroidered Baseball Cap,₹281,"₹1,405",(80% off),https://www.ajio.com/asos-design-men-embroidered-baseball-cap/p/469683140_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241022/Lgqh/6717bccbf9b8ef490bd48ef4/asos_design_black_men_embroidered_baseball_cap.jpg
242,Bene Kleed,Men Embroidered Baseball Cap,₹391,"₹1,699",(77% off),https://www.ajio.com/bene-kleed-men-embroidered-baseball-cap/p/702503959_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251117/F0hH/691b044188d6d62ff8ed805c/bene_kleed_black_men_embroidered_baseball_cap.jpg
243,SUPERDRY,VVintage Classic Beanie,₹910,"₹2,599",(65% off),https://www.ajio.com/superdry-vvintage-classic-beanie/p/410353938_7re?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20221227/0U94/63ab2246f997ddfdbdfc5bf6/superdry_red_vvintage_classic_beanie.jpg
244,MAX,Men Ribbed Beanie,₹315,₹399,(21% off),https://www.ajio.com/max-men-ribbed-beanie/p/700783421_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241121/EErW/673efc950f47f80c879a2a99/max_blue_men_ribbed_beanie.jpg
245,Bharatasya,Men Knitted Double Layered Head Wrap,₹287,₹699,(59% off),https://www.ajio.com/bharatasya-men-knitted-double-layered-head-wrap/p/466908203_brown?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20231225/jDDN/65895877ddf7791519e50304/bharatasya_brown_men_knitted_double_layered_head_wrap.jpg
246,SUPERDRY,Men Essential Logo Embroidered Beanie,"₹1,035","₹2,299",(55% off),https://www.ajio.com/superdry-men-essential-logo-embroidered-beanie/p/410277529_b6t?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250904/mNRx/68b992773d468c61abc7624a/superdry_green_men_essential_logo_embroidered_beanie.jpg
247,Bharatasya,Textured Head Wraps Cap,₹288,₹799,(64% off),https://www.ajio.com/bharatasya-textured-head-wraps-cap/p/463627606_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230621/gVZd/64926997d55b7d0c638c77b3/bharatasya_black_textured_head_wraps_cap.jpg
248,Navkar Crafts,Men Cable-Knit Winter Beanie Cap with Gloves & Mask,₹400,₹799,(50% off),https://www.ajio.com/navkar-crafts-men-cable-knit-winter-beanie-cap-with-gloves--mask/p/700962771_brown?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241222/FY8N/6767ff36c148fa1b3055bd30/navkar_crafts_brown_men_cable-knit_winter_beanie_cap_with_gloves_%26_mask.jpg
249,Royal Enfield,Men Embroidered Baseball Cap,₹900,N/A,N/A,https://www.ajio.com/royal-enfield-men-embroidered-baseball-cap/p/702043754_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250730/NNEc/688a4e818bfb9009ac4cd7f2/royal_enfield_black_men_embroidered_baseball_cap.jpg
250,Navkar Crafts,Men Self-Design Beanie,₹300,₹599,(50% off),https://www.ajio.com/navkar-crafts-men-self-design-beanie/p/700961277_brown?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241222/Xv60/6767d4fdc148fa1b30546c90/navkar_crafts_brown_men_self-design_beanie.jpg
251,PERFORMAX,Men Logo Print Visor Cap,₹150,₹499,(70% off),https://www.ajio.com/performax-men-logo-print-visor-cap/p/442125069_white?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240124/xm9i/65b0fc3d8cdf1e0df5cc17de/performax_white_men_logo_print_visor_cap.jpg
252,ALAMOS,Men Knitted Woven Beanie,₹600,"₹1,199",(50% off),https://www.ajio.com/alamos-men-knitted-woven-beanie-/p/701801997_brown?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250623/z6Kw/685961a52b1ad9265b5e3cbc/alamos_brown_men_knitted_woven_beanie.jpg
253,Columbia,Unisex Bugaboo Winter Beanie,"₹1,699",N/A,N/A,https://www.ajio.com/columbia-unisex-bugaboo-winter-beanie/p/460535765_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240910/CEUf/66dfdd211d763220fad5185d/columbia_black_unisex_bugaboo_winter_beanie.jpg
254,Aashirwad Crafts,Woolen Winter Beanie,₹350,₹699,(50% off),https://www.ajio.com/aashirwad-crafts-woolen-winter-beanie-/p/701441021_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250411/hjsQ/67f92d5b7a6cd4182fc24af0/aashirwad_crafts_red_woolen_winter_beanie.jpg
255,SUPERDRY,Dirt Road Cord Trucker Cap,"₹1,418","₹3,150",(55% off),https://www.ajio.com/superdry-dirt-road-cord-trucker-cap/p/410515771_06a?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251003/GW7O/68dfb7848bfb9009ac510faf/superdry_black_dirt_road_cord_trucker_cap.jpg
256,Teamspirit,Men Embroidered Baseball Cap,₹341,"₹1,099",(69% off),https://www.ajio.com/teamspirit-men-embroidered-baseball-cap/p/442260714_graphite?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230602/PQJ0/6479daf3d55b7d0c63477c19/teamspirit_graphite_men_embroidered_baseball_cap.jpg
257,THE TIE HUB,Men Colourblock Baseball Cap,₹734,"₹2,447",(70% off),https://www.ajio.com/the-tie-hub-men-colourblock-baseball-cap/p/701867766_multi?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251206/sF0G/69332ced720fb821d37077f2/the_tie_hub_multicoloured_men_colourblock_baseball_cap.jpg
258,SUPERDRY,Mesh Cord Trucker Cap,"₹1,418","₹3,150",(55% off),https://www.ajio.com/superdry-mesh-cord-trucker-cap/p/410515774_ocw?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251003/PUbE/68dfbeb98bfb9009ac520669/superdry_olive_green_mesh_cord_trucker_cap.jpg
259,BEWAKOOF,Unisex Marvel Unisex Embroidered Baseball Cap,₹449,"₹1,299",(65% off),https://www.ajio.com/bewakoof-unisex-marvel-unisex-embroidered-baseball-cap/p/702117678_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250815/8fvO/689e41e93d468c61ab6ee0f4/bewakoof_blue_unisex_marvel_unisex_embroidered_baseball_cap.jpg
260,MATCHITT,Men Embroidered Cotton Baseball Cap,₹359,₹599,(40% off),https://www.ajio.com/matchitt-men-embroidered-cotton-baseball-cap/p/441759669_navy?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20221118/r96L/6377637af997ddfdbd83c789/matchitt_navy_blue_men_embroidered_cotton_baseball_cap.jpg
261,ASOS DESIGN,Men Embroidered Baseball Cap,₹281,"₹1,405",(80% off),https://www.ajio.com/asos-design-men-embroidered-baseball-cap/p/469683102_cream?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241022/uoxJ/6717c504f9b8ef490bd4def8/asos_design_cream_men_embroidered_baseball_cap.jpg
262,MountMiller,Men Polyester Cap,₹449,₹550,(18% off),https://www.ajio.com/mountmiller-men-polyester-cap/p/700961526_green?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251209/gOHH/693857d98945db77cf1cf9b6/mountmiller_military_men_polyester_cap.jpg
263,ARMANI EXCHANGE,Men Urban Lightness Baseball Cap,"₹2,949","₹7,373",(60% off),https://www.ajio.com/armani-exchange-men-urban-lightness-baseball-cap/p/410521354_uc001?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250709/yhyR/686e6672e590ff066e37d500/armani_exchange_grey_%26_black_men_urban_lightness_baseball_cap.jpg
264,MATCHITT,Men Knitted Beanie,₹211,₹399,(47% off),https://www.ajio.com/matchitt-men-knitted-beanie/p/442260386_grey?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230919/nunw/6509b104ddf7791519e74edf/matchitt_grey_men_knitted_beanie.jpg
265,Jack & Jones,Men Embroidered Baseball Cap,₹899,"₹1,199",(25% off),https://www.ajio.com/jack--jones-men-embroidered-baseball-cap/p/467192801_blue?,
266,Decathlon,INESIS - Men Sun Protection Cap,₹589,₹699,(16% off),https://www.ajio.com/decathlon-inesis--men-sun-protection-cap/p/702234611_blue?,
267,ADIDAS,Men Heathered Knitted Beanie,₹999,N/A,N/A,https://www.ajio.com/adidas-men-heathered-knitted-beanie/p/469050024_red?,
268,EA7 Emporio Armani,Logo Series Cotton Baseball Cap,"₹6,600","₹11,000",(40% off),https://www.ajio.com/ea7-emporio-armani-logo-series-cotton-baseball-cap/p/410522819_u6139?,
269,YOUSTA,Men Typographic Print Baseball Cap,₹499,N/A,N/A,https://www.ajio.com/yousta-men-typographic-print-baseball-cap/p/442975914_black?,
270,Hummel,Men Logo Embroidered Baseball Cap,₹525,"₹1,499",(65% off),https://www.ajio.com/hummel-men-logo-embroidered-baseball-cap-/p/700247937_navy?,
271,PERFORMAX,Logo Print Baseball Cap,₹180,₹599,(70% off),https://www.ajio.com/performax-logo-print-baseball-cap/p/442125061_navy?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240124/hAbx/65b0f72e16fd2c6e6abd208d/performax_navy_blue_logo_print_baseball_cap.jpg
272,GAP,Men Solid Baseball Cap with Embroidered Logo,₹899,"₹1,499",(40% off),https://www.ajio.com/gap-men-solid-baseball-cap-with-embroidered-logo/p/442711858_aqua?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250602/aRcE/683d8f3e55340d4b4f7b9697/gap_aqua_men_solid_baseball_cap_with_embroidered_logo.jpg
273,MATCHITT,Men Baseball Cap with Applique,₹359,₹599,(40% off),https://www.ajio.com/matchitt-men-baseball-cap-with-applique/p/442028433_navy?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230117/kG9Q/63c67d59f997dd708e0efc6f/matchitt_navy_blue_men_baseball_cap_with_applique.jpg
274,Puma,Men Low Curve Baseball Cap,"₹1,599","₹1,999",(20% off),https://www.ajio.com/puma-men-low-curve-baseball-cap/p/701890775_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250709/ZGIY/686d7961b13fc54edd08a97a/puma_rosso_corsa_men_low_curve_baseball_cap.jpg
275,Youth Robe,Men Flat Winter Cap,"₹1,039","₹1,999",(48% off),https://www.ajio.com/youth-robe-men-flat-winter-cap/p/700899937_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241210/i66T/6757d6cc0f47f80c87ea26e3/youth_robe_red_men_flat_winter_cap.jpg
276,MAX,Men Applique Baseball Cap,₹499,N/A,N/A,https://www.ajio.com/max-men-applique-baseball-cap/p/701653665_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250531/Pc1j/683b0d3255340d4b4f743454/max_denim_men_applique_baseball_cap.jpg
277,DNMX,Men Cap with Embroidery,₹319,"₹1,030",(69% off),https://www.ajio.com/dnmx-men-cap-with-embroidery/p/442260722_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230602/wzFK/647971dd42f9e729d7149d60/dnmx_blue_men_cap_with_embroidery.jpg
278,GAS,Jacquard Reversible Beanie,"₹1,199","₹1,999",(40% off),https://www.ajio.com/gas-jacquard-reversible-beanie/p/410500134_0174?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241025/qsyy/671bbe2e260f9c41e8a01856/gas_grey_jacquard_reversible_beanie.jpg
279,Aavjo,Men Typographic Pattern Baseball Cap,₹500,₹999,(50% off),https://www.ajio.com/aavjo-men-typographic-pattern-baseball-cap/p/702384783_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251013/dKDS/68ecda753d468c61ab5bc3f1/aavjo_red_men_typographic_pattern_baseball_cap.jpg
280,SNITCH,Men Baseball Cap,"₹1,199",N/A,N/A,https://www.ajio.com/snitch-men-baseball-cap/p/702529075_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251121/6pIX/69209ba688d6d62ff8fcfbe5/snitch_black_men_baseball_cap.jpg
281,RED TAPE,Men Baseball Cap,₹480,"₹1,599",(70% off),https://www.ajio.com/red-tape-men-baseball-cap/p/467156031_white?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251213/2Okw/693c9e748945db77cf2d42de/red_tape_white_men_baseball_cap.jpg
282,Puma,Men Micro Print Cap,"₹1,379","₹2,299",(40% off),https://www.ajio.com/puma-men-micro-print-cap/p/702234369_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250910/1ZjC/68c1ad9a3d468c61abe21f63/puma_black_men_micro_print_cap.jpg
283,ALAMOS,Men Baseball Cap with Adjustable Back,₹700,"₹1,399",(50% off),https://www.ajio.com/alamos-men-baseball-cap-with-adjustable-back/p/702022005_multi?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250725/wXlF/6883c5808bfb9009ac3bccfa/alamos_multi_men_baseball_cap_with_adjustable_back.jpg
284,Aavjo,Men Embroidered Baseball Cap,₹500,₹999,(50% off),https://www.ajio.com/aavjo-men-embroidered-baseball-cap/p/701977707_pink?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250718/lIOR/687a08156034bf77f0d368c9/aavjo_pink_men_embroidered_baseball_cap.jpg
285,Bharatasya,Self-Design Stretchable Beanie Cap,₹294,₹699,(58% off),https://www.ajio.com/bharatasya-self-design-stretchable-beanie-cap/p/461579604_brown?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230602/4zXe/6479487d42f9e729d70f26d2/bharatasya_brown_self-design_stretchable_beanie_cap.jpg
286,Puma,Men Cotton Flat Cap,"₹1,079","₹1,799",(40% off),https://www.ajio.com/puma-men-cotton-flat-cap/p/702234427_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250910/BBxu/68c1af783d468c61abe2299c/puma_black_men_cotton_flat_cap.jpg
287,YOUSTA,Men Embroidered Cotton Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-embroidered-cotton-baseball-cap/p/442950533_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250722/RFr0/687f86256034bf77f0e75525/yousta_red_men_embroidered_cotton_baseball_cap.jpg
288,Decathlon,VAN RYSEL - Unisex Bandana,₹269,₹499,(46% off),https://www.ajio.com/decathlon-van-rysel--unisex-bandana/p/702373950_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251113/ZOFe/691618ffa470c5082f8eb3a0/decathlon_black_van_rysel_-_unisex_bandana.jpg
289,ASICS,Men Baseball Cap,"₹1,259","₹1,999",(37% off),https://www.ajio.com/asics-men-baseball-cap/p/702104476_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250811/mVAU/689a213e3d468c61ab63c1a0/asics_black_men_baseball_cap.jpg
290,Decathlon,SIMOND - Unisex Printed Multifunctional Banadana Scarf,₹339,₹699,(52% off),https://www.ajio.com/decathlon-simond--unisex-printed-multifunctional-banadana-scarf/p/702371555_white?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/CoQG/691698e488d6d62ff8e70847/decathlon_white_simond_-_unisex_printed_multifunctional_banadana_scarf.jpg
291,BALENZIA,Men Embroidery Cap,"₹1,299",N/A,N/A,https://www.ajio.com/balenzia-men-embroidery-cap/p/701564647_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250826/3mC8/68ade15f8bfb9009acb1d86b/balenzia_black_men_embroidery_cap.jpg
292,Bharatasya,Men Knitted Woven Headband,₹300,₹599,(50% off),https://www.ajio.com/bharatasya-men-knitted-woven-headband/p/700937421_beige?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241217/0xMv/67616867c148fa1b3044010b/bharatasya_beige_men_knitted_woven_headband.jpg
293,Aashirwad Crafts,Woolen Winter Beanie,₹300,₹599,(50% off),https://www.ajio.com/aashirwad-crafts-woolen-winter-beanie--/p/701440993_green?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250411/6BhH/67f92c997a6cd4182fc23053/aashirwad_crafts_green_woolen_winter_beanie.jpg
294,ALAMOS,Men Knitted Woven Beanie,₹700,"₹1,399",(50% off),https://www.ajio.com/alamos-men-knitted-woven-beanie-/p/701802188_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250623/jgUn/6859601a0f920c69cc493e14/alamos_black_men_knitted_woven_beanie.jpg
295,SUPERDRY,Men Washed Bucket Hat,"₹1,706","₹3,790",(55% off),https://www.ajio.com/superdry-men-washed-bucket-hat/p/410479964_f7j?,
296,BISON INDIA,Men Regular Fit Cap,₹479,₹799,(40% off),https://www.ajio.com/bison-india-men-regular-fit-cap/p/701302131_black?,
297,MATCHITT,Men Heathered Beanie Cap,₹211,₹399,(47% off),https://www.ajio.com/matchitt-men-heathered-beanie-cap/p/442260345_blue?,
298,Jack & Jones,Men Embroidered Baseball Cap,"₹1,234","₹1,299",(5% off),https://www.ajio.com/jack--jones-men-embroidered-baseball-cap/p/700450319_blue?,
299,Indie Picks,Beanie Cap with Fur Lining,₹319,₹499,(36% off),https://www.ajio.com/indie-picks-beanie-cap-with-fur-lining/p/700335286_navy?,
300,ALAMOS,Men Baseball Cap with Adjustable Back,₹750,"₹1,499",(50% off),https://www.ajio.com/alamos-men-baseball-cap-with-adjustable-back/p/702021878_orange?,
301,YOUSTA,Men Embroidered Baseball Cap,₹499,N/A,N/A,https://www.ajio.com/yousta-men-embroidered-baseball-cap/p/442952864_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250828/KOI8/68b0247d3d468c61aba15795/yousta_black_men_embroidered_baseball_cap.jpg
302,Jack & Jones,Men Embroidery Cap,₹999,N/A,N/A,https://www.ajio.com/jack--jones-men-embroidery-cap/p/702151261_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250825/zaB8/68ac51153d468c61ab946212/jack_%26_jones_blue_men_embroidery_cap.jpg
303,Navkar Crafts,Women Wool Beanie,₹350,₹699,(50% off),https://www.ajio.com/navkar-crafts-women-wool-beanie/p/700962267_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241222/lUrK/6767ebc1c148fa1b3054ab5d/navkar_crafts_black_women_wool_beanie.jpg
304,YOUSTA,Men Typographic Print Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-typographic-print-baseball-cap/p/442950531_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250729/sx9u/6888c20d3d468c61ab2f3af3/yousta_blue_men_typographic_print_baseball_cap.jpg
305,Jack & Jones,Men Embroidered Baseball Cap,₹751,₹799,(6% off),https://www.ajio.com/jack--jones-men-embroidered-baseball-cap/p/700327715_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240827/ndRe/66cd03491d763220fa9cf36b/jack_%26_jones_red_men_embroidered_baseball_cap.jpg
306,ASOS DESIGN,Soft Cap with Contrast Stitch,₹300,"₹1,499",(80% off),https://www.ajio.com/asos-design-soft-cap-with-contrast-stitch/p/469686509_burgundy?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241122/4SmA/6740926a0f47f80c87a21b4c/asos_design_burgundy_soft_cap_with_contrast_stitch.jpg
307,Aavjo,Men Baseball Cap with Applique,₹497,₹599,(17% off),https://www.ajio.com/aavjo-men-baseball-cap-with-applique/p/701977040_grey?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250718/nPCU/687a07db5d4cb4138035bf74/aavjo_grey_men_baseball_cap_with_applique.jpg
308,THE BEAR HOUSE,Embroidered Baseball Cap,₹555,"₹1,499",(63% off),https://www.ajio.com/the-bear-house-embroidered-baseball-cap/p/466975138_pink?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240113/PfzJ/65a1962e54c30e6276a84691/the_bear_house_pink_embroidered_baseball_cap.jpg
309,GAP,Men Soft Knitted Donegal Beanie,₹909,"₹1,299",(30% off),https://www.ajio.com/gap-men-soft-knitted-donegal-beanie/p/442692341_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250602/unos/683d9ef07a6cd4182f7920ff/gap_black_men_soft_knitted_donegal_beanie.jpg
310,cazzano,Men Woolen Beanie,₹480,"₹1,199",(60% off),https://www.ajio.com/cazzano-men-woolen-beanie/p/701026694_beige?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250108/Fe6t/677e3c300431850e0d89f900/cazzano_beige_men_woolen_beanie.jpg
311,MATCHITT,Men Embroidered Baseball Cap,₹359,₹599,(40% off),https://www.ajio.com/matchitt-men-embroidered-baseball-cap/p/441759666_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20221118/hCAB/63776092aeb269659c9be16e/matchitt_black_men_embroidered_baseball_cap.jpg
312,WOODLAND,Men Wool Patterned-Knit Beanie,₹347,₹495,(30% off),https://www.ajio.com/woodland-men-wool-patterned-knit-beanie/p/469366267_navy?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20221215/k0oW/639b3349f997ddfdbdd6a415/woodland_navy_blue_men_wool_patterned-knit_beanie.jpg
313,Bharatasya,Striped Knitted Headwrap,₹330,₹999,(67% off),https://www.ajio.com/bharatasya-striped-knitted-headwrap-/p/465488411_olive?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230526/rSe9/6470326ed55b7d0c630c8000/bharatasya_olive_green_striped_knitted_headwrap.jpg
314,Puma,Cotton Logo Cap,₹909,"₹1,299",(30% off),https://www.ajio.com/puma-cotton-logo-cap/p/701356825_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250319/hqWf/67dad8d92960820c49fc69d3/puma_puma_black_cotton_logo_cap.jpg
315,GAP,Men Logo Print Baseball Hat,₹984,"₹1,405",(30% off),https://www.ajio.com/gap-men-logo-print-baseball-hat/p/442758600_green?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250818/qDYb/68a319a53d468c61ab732e5b/gap_green_men_logo_print_baseball_hat.jpg
316,Hummel,Men Logo Embroidered Baseball Cap,₹455,"₹1,299",(65% off),https://www.ajio.com/hummel-men-logo-embroidered-baseball-cap-/p/700247943_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240731/aWlM/66aa67ad1d763220fa51f019/hummel_blue_men_logo_embroidered_baseball_cap.jpg
317,Bharatasya,Textured Beanies Cap,₹329,₹699,(53% off),https://www.ajio.com/bharatasya-textured-beanies-cap/p/463787038_cream?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230621/F7xr/6492585842f9e729d7628f70/bharatasya_cream_textured_beanies_cap.jpg
318,ALAMOS,Men Pack of 2 Wool Beanies,₹500,₹999,(50% off),https://www.ajio.com/alamos-men-pack-of-2-wool-beanies/p/702021010_multi?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250725/XQsx/6883b9c33d468c61ab218932/alamos_olive%2C_blue_men_pack_of_2_wool_beanies.jpg
319,Navkar Crafts,Women Wool Beanie,₹300,₹599,(50% off),https://www.ajio.com/navkar-crafts-women-wool-beanie/p/700962340_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241222/3rtU/6767ef800f47f80c8716cfe2/navkar_crafts_blue_women_wool_beanie.jpg
320,BALENZIA,Men Embroidery Cap,"₹1,299",N/A,N/A,https://www.ajio.com/balenzia-men-embroidery-cap/p/701566974_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250826/qEtC/68ade15f3d468c61ab9cf746/balenzia_black_men_embroidery_cap.jpg
321,Aavjo,Men Embroidered Baseball Cap,₹500,₹999,(50% off),https://www.ajio.com/aavjo-men-embroidered-baseball-cap/p/702384804_charcoal?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251013/081I/68ecdc538bfb9009ac685c79/aavjo_charcoal_men_embroidered_baseball_cap.jpg
322,Jack & Jones,Men Embroidered Baseball Cap,₹751,₹799,(6% off),https://www.ajio.com/jack--jones-men-embroidered-baseball-cap/p/700327730_green?,
323,MATCHITT,Men Silicon Badge Baseball Cap,₹309,"₹1,030",(70% off),https://www.ajio.com/matchitt-men-silicon-badge-baseball-cap/p/442086803_black?,
324,DEIFIC,Geometric Pattern Kullu Patti Rounded Woolen Hat,₹595,"₹1,699",(65% off),https://www.ajio.com/deific-geometric-pattern-kullu-patti-rounded-woolen-hat/p/466963999_black?,
325,DNMX,Men 3D Embroidery Baseball Cap,₹319,"₹1,030",(69% off),https://www.ajio.com/dnmx-men-3d-embroidery-baseball-cap/p/442107988_maroon?,
326,MATCHITT,Men Typographic Print Baseball Cap,₹330,"₹1,099",(70% off),https://www.ajio.com/matchitt-men-typographic-print-baseball-cap/p/442086807_blue?,
327,YOUSTA,Men Typographic Print Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-typographic-print-baseball-cap/p/442952861_black?,
328,Puma,Men Baseball Caps,₹675,"₹1,499",(55% off),https://www.ajio.com/puma-men-baseball-caps/p/702234345_black?,
329,cazzano,Men Wool Beanie,₹400,₹999,(60% off),https://www.ajio.com/cazzano-men-wool-beanie/p/701027490_blue?,
330,MATCHITT,Men Embroidered Baseball Cap,₹359,₹599,(40% off),https://www.ajio.com/matchitt-men-embroidered-baseball-cap/p/442028434_navy?,
331,WOODLAND,Men Wool Patterned-Knit Beanie,₹347,₹495,(30% off),https://www.ajio.com/woodland-men-wool-patterned-knit-beanie/p/469366167_navy?,
332,YOUSTA,Men Cotton Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-cotton-baseball-cap/p/442950538_white?,
333,MATCHITT,Men Printed Baseball Cap,₹309,"₹1,030",(70% off),https://www.ajio.com/matchitt-men-printed-baseball-cap/p/442086825_charcoal?,
334,Royal Enfield,Men Baseball Cap with Brand Print,₹700,N/A,N/A,https://www.ajio.com/royal-enfield-men-baseball-cap-with-brand-print/p/700986024_white?,
335,YOUSTA,Men Camouflage Print Baseball Cap,₹199,₹399,(50% off),https://www.ajio.com/yousta-men-camouflage-print-baseball-cap/p/442658253_olive?,
336,Free Authority,Men Graphic Beanie,₹359,₹599,(40% off),https://www.ajio.com/free-authority-men-graphic-beanie/p/700911821_black?,
