Serial_No,Brand,Product_Name,Price,Original_Price,Discount,Product_Link,Image_URL
48,YOUSTA,Men Striped Knitted Beanie,₹199,N/A,N/A,https://www.ajio.com/yousta-men-striped-knitted-beanie/p/442971906_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250909/FqaK/68c0551d3d468c61abde3c86/yousta_black_men_striped_knitted_beanie.jpg
49,Decathlon,WEDZE - Unisex & Printed Winter Beanie,₹849,₹899,(6% off),https://www.ajio.com/decathlon-wedze--unisex--printed-winter-beanie/p/702227910_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/0C5m/6916adfda470c5082f9088e3/decathlon_black_wedze_-_unisex_%26_printed_winter_beanie.jpg
50,SUPERDRY,Mesh Classic Trucker Cap,"₹1,418","₹3,150",(55% off),https://www.ajio.com/superdry-mesh-classic-trucker-cap/p/410479105_56t?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251003/HEcS/68dfc4853d468c61ab454710/superdry_beige_mesh_classic_trucker_cap.jpg
51,Decathlon,WEDZE - Adult Wool Beanie Hat Torsade,₹899,₹999,(10% off),https://www.ajio.com/decathlon-wedze--adult-wool-beanie-hat-torsade/p/702229417_grey?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/dVMz/69168f84a470c5082f905686/decathlon_grey_wedze_-_adult_wool_beanie_hat_torsade.jpg
52,THE TIE HUB,Men Embroidered Baseball Cap with Adjustable Strap,"₹1,574","₹5,247",(70% off),https://www.ajio.com/the-tie-hub-men-embroidered-baseball-cap-with-adjustable-strap/p/701867784_multi?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251205/165W/69328c558945db77cf0fa535/the_tie_hub_multicoloured_men_embroidered_baseball_cap_with_adjustable_strap.jpg
53,SUPERDRY,Men Essential Logo Embroidered Beanie,"₹1,035","₹2,299",(55% off),https://www.ajio.com/superdry-men-essential-logo-embroidered-beanie/p/410277529_c2p?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250904/Z6lS/68b987353d468c61abc71ddf/superdry_navy_blue_men_essential_logo_embroidered_beanie.jpg
54,YOUSTA,Men Embroidered Acrylic Beanie,₹199,N/A,N/A,https://www.ajio.com/yousta-men-embroidered-acrylic-beanie/p/442971931_mustard?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250909/pTDx/68c02f963d468c61abdae7b9/yousta_mustard_men_embroidered_acrylic_beanie.jpg
55,Puma,Moisture-Wicking Poly Cotton Running Cap,₹405,₹899,(55% off),https://www.ajio.com/puma-moisture-wicking-poly-cotton-running-cap/p/460807243_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251008/sFL5/68e65bc68bfb9009ac5ded82/puma__moisture-wicking_poly_cotton_running_cap.jpg
56,ARMANI EXCHANGE,MI / NY Baseball Cap,"₹3,500","₹6,999",(50% off),https://www.ajio.com/armani-exchange-mi--ny-baseball-cap/p/410533143_ub101?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250828/io41/68afddad8bfb9009acb29b9d/armani_exchange_navy_blue_mi___ny_baseball_cap.jpg
57,PERFORMAX,Men Logo Print Baseball Cap,₹149,₹699,(79% off),https://www.ajio.com/performax-men-logo-print-baseball-cap/p/442125063_navy?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240124/sPbM/65b0f4e08cdf1e0df5cbd964/performax_navy_blue_men_logo_print_baseball_cap.jpg
58,Puma,Archive Logo Baseball Cap,₹599,₹999,(40% off),https://www.ajio.com/puma-archive-logo-baseball-cap/p/700314630_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241016/vUcf/670f6e9c260f9c41e87b8489/puma_black_archive_logo_baseball_cap.jpg
59,YOUSTA,Men Patterned Winter Beanie,₹249,N/A,N/A,https://www.ajio.com/yousta-men-patterned-winter-beanie/p/442971915_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250904/QeHd/68b99bca8bfb9009acdb4b86/yousta_black_men_patterned_winter_beanie.jpg
60,YOUSTA,Men Striped Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-striped-baseball-cap/p/442950541_charcoal?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250709/u8qh/686e1ba3b13fc54edd0947d5/yousta_charcoal_men_striped_baseball_cap.jpg
61,Aadikart,Unisex Beanie cap,₹300,₹599,(50% off),https://www.ajio.com/aadikart-unisex-beanie-cap/p/700917410_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241213/rqJn/675bf79fc148fa1b3035d05b/aadikart_red_unisex_beanie_cap.jpg
62,PERFORMAX,Logo Print Baseball Cap,₹349,₹499,(30% off),https://www.ajio.com/performax-logo-print-baseball-cap/p/442125070_red?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240124/MzMm/65b0f8838cdf1e0df5cc024f/performax_red_logo_print_baseball_cap.jpg
63,GAP,Men Camouflage Print Baseball Hat,₹909,"₹1,299",(30% off),https://www.ajio.com/gap-men-camouflage-print-baseball-hat/p/442758597_olive?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250724/sVrc/688229218bfb9009ac35ece8/gap_olive_men_camouflage_print_baseball_hat.jpg
64,BEWAKOOF,Men Baseball Caps,₹549,"₹1,299",(58% off),https://www.ajio.com/bewakoof-men-baseball-caps/p/702546355_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251125/zoY0/6925a7e5a470c5082fb29634/bewakoof_black_men_baseball_caps.jpg
65,Decathlon,SIMOND - Adult Unisex Windproof Cold Weather Balaclava,"₹1,199","₹1,999",(40% off),https://www.ajio.com/decathlon-simond--adult-unisex-windproof-cold-weather-balaclava/p/702229516_black?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251114/9clu/6916bada88d6d62ff8e74361/decathlon_black_simond_-_adult_unisex_windproof_cold_weather_balaclava.jpg
66,Jack & Jones,Men Brand Embroidered Baseball Cap,"₹1,199",N/A,N/A,https://www.ajio.com/jack--jones-men-brand-embroidered-baseball-cap/p/466627444_blue?,https://assets-jiocdn.ajio.com/medias/sys_master/root/20230925/aByq/65118935afa4cf41f5058429/jack_%26_jones_navy_blue_men_brand_embroidered_baseball_cap.jpg
67,YOUSTA,Men Numeric Print Baseball Cap,₹399,N/A,N/A,https://www.ajio.com/yousta-men-numeric-print-baseball-cap/p/442950532_black?,
68,Decathlon,WEDZE - Adult Fleece Snood/Beanie,₹279,₹499,(44% off),https://www.ajio.com/decathlon-wedze--adult-fleece-snood-beanie/p/702373883_grey?,
