State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Graduate_Education,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Tapwater_Households,sex_ratio,Literacy Rate,Female_Literacy_Gap
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,MADHYA PRADESH,826067,422653,403414,508834,307889,200945,418682,245708,172974,358500,60182,407385,741288,67324,1508,1110,224,14165,34666,145258,1945,242197,42343,4498,73279,105328,46190,74329,954.0,61.59718279510016,23.035643928228026
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,MADHYA PRADESH,1016520,533480,483040,552559,332140,220419,431998,275375,156623,276633,155365,584522,974748,35214,418,186,37,4734,13285,76097,653,288923,29795,2219,30800,82991,23811,20499,905.0,54.35790737024357,16.627504029427687
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,MADHYA PRADESH,1331597,700358,631239,820220,479093,341127,517838,370366,147472,370241,147597,813759,1195235,120331,1725,2262,253,10637,34499,194373,1141,325713,48384,6017,87258,133315,82664,55642,901.0,61.59671432122481,14.366009419840708
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,MADHYA PRADESH,1545814,790212,755602,804245,488797,315448,745603,429768,315835,471773,273830,800211,1433879,106928,1243,460,121,1599,30688,231130,1611,401717,51499,4185,76942,150010,54463,44489,956.0,52.0272814193687,20.1085342053586
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,MADHYA PRADESH,1455069,738241,716828,825880,485090,340790,690980,411446,279534,471139,219841,764089,1267043,151071,3996,1353,175,29353,67830,213825,3644,373867,67192,5757,107463,146318,96263,92722,971.0,56.75882037209232,18.167503838611314
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,MADHYA PRADESH,2365106,1225100,1140006,1441757,845572,596185,991946,617184,374762,630251,361695,1373160,2268838,85414,1964,832,986,655,45180,251132,3406,618399,122371,11833,109351,237937,126470,40976,931.0,60.959508791572134,16.72399679638693
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,MADHYA PRADESH,2378458,1256257,1122201,1545719,908607,637112,1006035,682077,323958,779093,226942,1372423,2198297,103480,5580,4146,991,62992,68482,366494,4546,613915,116753,11291,160622,213013,127876,108648,893.0,64.98828232409402,15.553092287879998
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,MADHYA PRADESH,2228935,1157495,1071440,1371781,801051,570730,911349,590487,320862,612510,298839,1317586,2158623,59471,2228,1163,364,3135,55196,294702,3754,576004,105499,9401,117176,212078,142613,51222,926.0,61.54423525136444,15.938003776572163
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,MADHYA PRADESH,1311332,683743,627589,780362,469208,311154,586087,364559,221528,372150,213937,725245,1163607,137980,1404,640,357,6232,30868,212138,1566,329647,50655,6041,100011,141356,80229,42540,918.0,59.509109821158944,19.04418191231803
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,MADHYA PRADESH,1379131,695879,683252,864194,485341,378853,684434,394660,289774,397575,286859,694697,1145052,79739,1857,360,7288,4982,26893,228695,1182,382587,55984,4048,66919,84804,68267,65941,982.0,62.66221265420037,14.296525348782584
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,MADHYA PRADESH,1066063,540021,526042,604194,348761,255433,493057,292402,200655,240811,252246,573006,997073,42426,2372,912,268,1737,24255,113184,1733,291440,46513,3819,45685,72253,43590,26235,974.0,56.67526215617651,16.025329187837876
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,MADHYA PRADESH,1512681,780520,732161,894612,543509,351103,717871,431857,286014,508833,209038,794810,1321003,174724,815,631,179,13755,32204,232735,1382,386608,48671,4200,88946,160720,68975,57416,938.0,59.14082347831433,21.679874838202817
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,MADHYA PRADESH,687861,361784,326077,328025,208201,119824,277455,183788,93667,196189,81266,410406,638702,41396,230,6387,201,379,11701,74770,273,176522,17091,1634,29266,57366,18710,20123,901.0,47.687686901859536,20.801278005929774
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,MADHYA PRADESH,1726050,919795,806255,900846,573242,327604,759281,481001,278280,577723,181558,966769,1648749,51200,1117,7151,3421,12171,35706,148128,1852,434618,44812,5417,71501,148509,52090,38459,877.0,52.19118797253846,21.68999791197741
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,MADHYA PRADESH,1127033,575912,551121,600785,353030,247755,461760,284289,177471,275482,186278,665273,1077545,34419,511,128,92,93,9569,102228,837,276869,33067,3320,26502,82709,17833,8738,957.0,53.306779836970165,16.34455801840845
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,MADHYA PRADESH,1445166,760355,684811,747940,459353,288587,655318,402776,252542,470432,184886,789848,1383475,44143,588,251,109,15569,21489,132725,1090,382992,35034,4139,62828,140118,30506,17280,901.0,51.75460812114318,18.2718486886102
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,MADHYA PRADESH,1986864,1016289,970575,1240990,730817,510173,897442,569425,328017,682115,215327,1089422,1718204,233133,4659,3241,945,24622,123526,323379,7501,489449,111290,12167,181659,248508,165304,129402,955.0,62.45973554304673,19.34635670220738
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,MADHYA PRADESH,644758,330674,314084,356672,210907,145765,289691,175698,113993,138600,151091,355067,620515,15966,667,190,70,220,12713,67975,839,168066,18144,1873,22502,39260,19781,17731,950.0,55.318739744214106,17.37138514802324
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,MADHYA PRADESH,1458875,769568,689307,862918,512344,350574,550402,401583,148819,397283,153119,908473,1287391,149548,1313,914,295,18490,41617,181510,1926,376409,59814,5682,96565,150643,73505,47389,896.0,59.1495501670808,15.716627167453268
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,MAHARASHTRA,1813906,932334,881572,1411281,758977,652304,768154,520362,247792,691025,77129,1045752,1107809,357253,4483,1504,328033,10205,107463,314490,6163,504235,112574,9037,176674,195210,180311,229535,946.0,77.80342531531403,7.412851340325255
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,MAHARASHTRA,2888445,1480768,1407677,2251875,1207104,1044771,1236322,837577,398745,1061544,174778,1652123,2055177,421410,7223,2242,383891,11360,175917,512492,9438,781815,203273,15285,302188,295756,342031,496146,951.0,77.96149831483721,7.299267439650869
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,BIHAR,2540073,1318684,1221389,1466002,868733,597269,837770,599157,238613,480286,357484,1702303,2291133,237353,2218,295,334,775,24106,44456,2362,477297,91371,7145,45871,235248,84329,13998,926.0,57.71495543632014,16.977984567314646
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,MAHARASHTRA,3701282,1924469,1776813,2503837,1430936,1072901,1575079,1015864,559215,1446636,128443,2126203,2545438,786677,15991,5142,309093,30981,246324,589477,23258,979132,253253,33322,403594,526483,360410,459847,923.0,67.64783121091557,13.971397418776476
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,MAHARASHTRA,1200334,605520,594814,899860,488709,411151,597305,345054,252251,413838,183467,603029,1009352,26502,2145,831,154458,1017,55948,227025,2932,356418,67061,5184,117299,131424,168707,104699,982.0,74.9674673882436,11.58636092605686
